작성일,제목,내용,추천수,카테고리
2025-08-04,멸종위기 야생동물 보호를 위한 서식지 보전 기금 확대,"무분별한 개발로 인해 파괴되고 있는 야생동물 서식지를 체계적으로 보전하고 복원하기 위해, '야생동물 보호 기금'을 조성하고 관련 시민단체의 활동을 지원해야 합니다.",91,환경
2024-09-20,일반고 교육 역량 강화를 위한 고교학점제 안착 지원,"학생들이 진로와 적성에 따라 과목을 선택하는 고교학점제가 성공적으로 안착할 수 있도록, 다양한 선택 과목을 개설하고 이를 가르칠 수 있는 교사 수급 및 연수 시스템을 마련해야 합니다.",76,교육
2025-02-04,투명 페트병 별도 분리배출 의무 전국 확대,"고품질 재활용 자원인 투명 페트병의 회수율을 높이기 위해, 현재 일부 지자체에서 시행 중인 '투명 페트병 별도 분리배출'을 전국 모든 공동주택 및 단독주택으로 확대 의무화해야 합니다.",41,환경
2024-11-06,중소기업 기술 탈취 방지를 위한 징벌적 손해배상제 강화,"대기업이 중소기업의 핵심 기술을 부당하게 탈취하는 관행을 근절하기 위해, 고의적인 기술 유출에 대한 징벌적 손해배상액의 상한을 현행 3배에서 10배로 상향 조정해야 합니다.",151,경제
2024-09-05,친환경 자동차 보급 확대를 위한 충전 인프라 구축,"전기차, 수소차 등 친환경 자동차 보급을 가속화하기 위해, 아파트, 공공기관, 고속도로 휴게소 등에 급속·완속 충전기 설치를 의무화하고 설치 보조금을 확대 지원할 것을 제안합니다.",78,환경
2025-05-19,저소득층 아동 급식카드(꿈나무카드) 사용처 확대,"결식아동들이 눈치 보지 않고 식사할 수 있도록, 현재 편의점 및 일부 식당으로 제한된 급식카드 사용처를 대형마트, 베이커리 등 다양한 곳으로 확대하여 아동들의 영양 불균형을 해소해야 합니다.",146,복지
2024-10-04,이륜차(오토바이) 소음 규제 강화 및 단속 시스템 도입,"주택가와 도로변의 극심한 소음 공해를 유발하는 불법 개조 이륜차를 근절하기 위해, 소음 허용 기준을 강화하고 소음·영상 동시 측정 장비를 도입하여 단속을 강화해야 합니다.",15,교통
2024-10-31,'가족돌봄청년(영케어러)' 발굴 및 맞춤형 지원 체계 구축,"질병이나 장애가 있는 가족을 돌보느라 학업과 생계에 어려움을 겪는 '가족돌봄청년'을 조기에 발굴하고, 이들에게 학업 지원, 심리 상담, 생계비 등을 지원하는 통합 시스템을 마련해야 합니다.",60,복지
2024-11-02,폐교를 활용한 지역 문화예술 공간 조성,"학령인구 감소로 인해 늘어나는 폐교를 리모델링하여, 지역 주민들을 위한 도서관, 공연장, 생활문화센터 등 복합 문화예술 공간으로 재탄생시키는 정책을 제안합니다.",84,교육
2025-02-20,치매 국가책임제 강화를 위한 치매안심센터 기능 확대,"치매 환자와 가족의 부담을 덜어주기 위해, 전국 치매안심센터의 전문 인력을 확충하고, 24시간 상담 서비스 및 단기 보호(쉼터) 기능을 확대하여 치매 국가책임제를 강화해야 합니다.",78,복지
2025-04-11,발달장애인 평생교육 지원을 위한 국가 지원 체계 마련,"학령기 이후 교육 기회가 단절되는 성인 발달장애인들을 위해, 이들의 특성을 고려한 맞춤형 평생교육 프로그램을 개발하고 지원하는 국가 차원의 센터를 설립할 것을 제안합니다.",192,복지
2025-04-17,대학 내 비정규직 연구·강의 인력 처우 개선,"대학의 연구 및 교육의 질을 높이기 위해, 시간 강사, 연구원 등 비정규직 인력에게 생활 임금을 보장하고, 고용 안정을 위한 '대학 공공성 강화법'을 제정해야 합니다.",45,교육
2024-11-03,도심 하천 생태계 복원을 통한 친수 공간 조성,"콘크리트로 덮여 있던 도심 하천을 생태 하천으로 복원하여, 수질을 개선하고 시민들이 즐겨 찾는 여가 및 휴식 공간으로 만들 것을 제안합니다.",134,환경
2024-09-22,음식물 쓰레기 종량제(RFID) 전국 확대 시행,"음식물 쓰레기 배출량을 줄이기 위해, 배출한 만큼 비용을 부담하는 RFID 기반 종량제 시스템을 현재 일부 지역에서 전국 모든 공동주택으로 확대 시행해야 합니다.",40,환경
2025-01-15,해양 플라스틱 쓰레기 수거를 위한 기술 개발 지원,"심각한 해양 오염의 원인이 되는 플라스틱 쓰레기를 효율적으로 수거하기 위해, AI 기반의 해양 부유 쓰레기 탐지 기술 및 수거 로봇 개발을 위한 R&D 투자를 확대해야 합니다.",19,환경
2025-05-08,1회용컵 보증금 제도 재시행 및 대상 품목 확대,"폐기물 감량과 재활용 촉진을 위해 과거에 시행되었던 '1회용컵 보증금 제도'를 재도입하고, 커피 전문점뿐만 아니라 패스트푸드점 등 대상 업종을 확대해야 합니다.",1,환경
2024-09-19,보호종료아동 자립 지원을 위한 주거 및 정착 지원금 확대,"만 18세가 되어 아동복지시설을 떠나야 하는 보호종료아동들이 안정적으로 사회에 정착할 수 있도록, LH 임대주택 우선 입주권을 제공하고 초기 정착 지원금을 현실적인 수준으로 인상해야 합니다.",237,복지
2024-11-24,개인형 이동장치(PM) 안전 관리 강화 및 전용도로 확충,"전동 킥보드 등 개인형 이동장치(PM) 이용자의 안전을 위해, 운전면허 인증을 의무화하고 안전모 미착용 단속을 강화하며, 자전거도로와 분리된 PM 전용도로를 확충해야 합니다.",1,교통
2025-02-15,한부모가족 자녀 양육비 이행 강화 및 국가 대지급제 도입,"이혼 후 양육비를 지급하지 않는 '배드 파더' 문제를 해결하기 위해, 국가가 양육비를 먼저 지급하고 나중에 비양육자에게 구상권을 청구하는 '양육비 대지급제'를 도입할 것을 제안합니다.",159,복지
2025-04-14,사회초년생을 위한 '첫 월급 재무 설계' 지원 프로그램,"사회에 첫발을 내딛는 청년들이 건전한 금융 습관을 형성할 수 있도록, 기업 및 공공기관과 연계하여 무료 재무 상담 및 생애 주기별 자산 관리 교육을 제공하는 프로그램을 마련해야 합니다.",181,복지
2025-04-14,농어촌 지역 소규모 학교 통폐합 문제 재검토,"교육의 효율성만을 내세운 일방적인 농어촌 학교 통폐합을 중단하고, 지역 공동체의 구심점 역할을 하는 작은 학교를 살리기 위한 '농어촌 교육 특별법'을 제정할 것을 제안합니다.",20,교육
2025-07-21,물가 안정을 위한 농수산물 유통구조 개선,"생산자에서 소비자에 이르는 복잡한 유통 단계를 축소하여, 생산자는 제값을 받고 소비자는 저렴하게 농수산물을 구매할 수 있도록 '농수산물 온라인 직거래 플랫폼'을 구축해야 합니다.",142,경제
2025-02-14,위기 청소년 지원을 위한 '청소년 쉼터' 기능 강화,"가출 등 위기 상황에 놓인 청소년들을 보호하기 위해, 전국 '청소년 쉼터'의 수를 늘리고, 단순 숙식 제공을 넘어 심리 상담, 학업 지원, 직업 훈련 등 자립을 위한 통합 서비스를 제공해야 합니다.",232,교육
2025-02-23,젠트리피케이션 방지를 위한 '상가임대차보호법' 개정,"상권이 활성화되면서 임대료가 급등해 원주민과 소상공인들이 쫓겨나는 젠트리피케이션을 막기 위해, 임대료 인상률 상한을 낮추고 계약갱신요구권 행사 기간을 연장하는 방향으로 법을 개정해야 합니다.",128,경제
2025-07-19,국립공원 내 훼손지 복원 및 생태 탐방로 정비,"무분별한 입산과 시설물 설치로 훼손된 국립공원 내 등산로와 야영장 등을 자연 친화적으로 복원하고, 예약 기반의 생태 탐방로를 운영하여 지속가능한 이용을 도모해야 합니다.",116,환경
2025-01-06,기초학력 부진 학생 지원을 위한 '학습튜터링' 제도 확대,"코로나19 이후 심화된 학습 격차를 해소하기 위해, 대학생 멘토와 기초학력 부진 학생을 1:1로 연결하는 '학습튜터링' 제도를 전국 모든 초·중학교로 확대 시행할 것을 제안합니다.",154,교육
2025-05-22,플랫폼 노동자 권익 보호를 위한 표준계약서 도입 의무화,"배달 라이더, 대리운전 기사 등 플랫폼 노동자들이 부당한 대우를 받지 않도록, 최소한의 권익을 보장하는 '플랫폼 노동자 표준계약서' 사용을 의무화하고, 불공정 약관을 시정해야 합니다.",70,경제
2024-11-06,광역급행버스(M버스) 노선 확대 및 증차,"서울로 출퇴근하는 수도권 시민들의 편의를 위해, 현재 운행 중인 광역급행버스 노선을 신도시 및 인구 밀집 지역으로 확대하고, 출퇴근 시간대 투입 차량을 증차해야 합니다.",241,교통
2024-10-28,가계 통신비 부담 완화를 위한 제4이동통신사 설립 지원,"고착화된 3사 중심의 통신 시장 경쟁을 촉진하여 가계 통신비 부담을 실질적으로 낮추기 위해, 신규 사업자가 시장에 진입할 수 있도록 주파수 할당 등 정책적 지원을 해야 합니다.",3,경제
2024-12-01,심야 시간대 대중교통 확충(심야버스 노선 확대),"늦은 시간 귀가하는 시민들과 심야 근로자들을 위해, 현재 서울 일부 지역에서만 운행되는 심야버스(올빼미버스) 노선을 수도권 전체 및 지방 대도시로 확대해야 합니다.",69,교통
2025-04-23,불공정 주식 리딩방 근절을 위한 규제 및 처벌 강화,"허위·과장 정보로 투자자들을 현혹하여 막대한 피해를 입히는 유사투자자문업자(주식 리딩방)의 불법 행위를 근절하기 위해, 등록 요건을 강화하고 부당 이득에 대한 처벌 수위를 높여야 합니다.",156,경제
2025-03-20,역사 왜곡 대응 및 올바른 역사관 확립을 위한 교육 강화,"주변국의 역사 왜곡에 체계적으로 대응하고 청소년들에게 올바른 역사관을 심어주기 위해, 동북아역사재단 등 관련 기관의 역할을 강화하고 학교 역사 교육 시간을 확대해야 합니다.",137,교육
2024-11-20,보행자 우선 출발 신호(LPI) 전국 교차로 확대 설치,"횡단보도 우회전 시 발생하는 교통사고를 예방하기 위해, 보행자가 차량보다 먼저 출발하도록 하는 '보행자 우선 출발 신호(LPI)'를 전국 주요 교차로에 확대 설치할 것을 제안합니다.",160,교통
2024-10-03,교통 소외지역 주민을 위한 '100원 택시' 전국 확대,"버스 등 대중교통 접근이 어려운 농어촌 및 도서산간 지역 어르신들을 위해, 저렴한 비용으로 택시를 이용할 수 있는 '행복택시(100원 택시)' 제도를 전국적으로 확대 시행해야 합니다.",150,교통
2024-09-06,청년 창업 활성화를 위한 저금리 대출 및 컨설팅 지원,"혁신적인 아이디어를 가진 청년들이 실패에 대한 두려움 없이 창업에 도전할 수 있도록, 정부가 보증하는 저금리 창업자금 대출을 확대하고, 분야별 전문가 컨설팅을 지원해야 합니다.",155,경제
2025-03-14,해외로 유출된 문화재 환수를 위한 민관 협력 강화,"약탈, 도난 등으로 해외에 흩어져 있는 우리 문화재를 되찾아오기 위해, 정부의 외교적 노력과 더불어 민간 차원의 환수 활동을 지원하는 '문화재 환수 기금'을 조성할 것을 제안합니다.",86,경제
2025-04-29,중증·희귀질환 치료제 건강보험 적용 확대,"막대한 약값 때문에 치료를 포기하는 환자가 없도록, 생명과 직결된 고가의 중증·희귀질환 신약에 대한 건강보험 급여 적용을 신속하게 결정하고, 본인부담률을 낮춰야 합니다.",45,복지
2024-12-17,대·중소기업 간 상생을 위한 '납품단가 연동제' 정착,"원자재 가격이 급등할 때 그 부담이 중소기업에만 전가되는 불공정 관행을 개선하기 위해, 원자재 가격 변동분을 납품단가에 의무적으로 반영하는 '납품단가 연동제'를 조속히 정착시켜야 합니다.",9,경제
2025-07-07,지역 화폐 발행 확대 및 인센티브 유지,"코로나19 시기 골목상권 활성화에 기여한 지역사랑상품권(지역 화폐)의 발행 규모를 확대하고, 할인율 등 인센티브를 유지하여 지역 내 소비를 촉진하고 경제 선순환을 이끌어야 합니다.",15,경제
2024-11-13,기후 위기 대응을 위한 '탄소중립포인트' 제도 확대,"전기, 가스, 수도 사용량을 줄이거나 친환경 제품을 구매하는 등 탄소중립을 실천하는 국민에게 현금처럼 쓸 수 있는 포인트를 제공하는 '탄소중립포인트' 제도를 더욱 확대해야 합니다.",174,환경
2024-10-19,어린이 보호구역(스쿨존) 내 불법 주정차 단속 강화,"어린이들의 안전한 통학로를 확보하기 위해, 스쿨존 내 불법 주정차 차량에 대한 과태료를 상향하고, 주민신고제를 활성화하며, 무인 단속 카메라를 확대 설치해야 합니다.",127,교통
2025-01-27,어르신 무릎 인공관절 수술비 지원 연령 및 소득 기준 완화,"퇴행성 관절염으로 고통받는 저소득층 어르신들의 삶의 질 향상을 위해, 현재 만 65세 이상으로 제한된 무릎 인공관절 수술비 지원 대상의 연령 및 소득 기준을 완화해야 합니다.",105,복지
2025-08-02,긴급 돌봄이 필요한 가정을 위한 '아픈아이 돌봄센터' 확충,"아이가 갑자기 아플 때 연차를 내기 어려운 맞벌이 및 한부모 가정을 위해, 간호 인력이 상주하며 아픈 아이를 돌봐주는 '아픈아이 돌봄센터'를 지역별로 확충해야 합니다.",58,복지
2025-04-19,자살 예방을 위한 24시간 위기 상담 전화 확대,"OECD 최고 수준인 자살률을 낮추기 위해, 심리적 어려움을 겪는 국민 누구나 24시간 전문가의 도움을 받을 수 있도록, 위기 상담 전문 인력을 확충하고 전화 회선을 증설해야 합니다.",224,복지
2025-01-27,고속도로 지정차로 위반 단속 강화(특히 1차로 정속주행),"원활한 교통 흐름을 방해하고 사고를 유발하는 고속도로 1차로 정속주행 차량을 근절하기 위해, 암행순찰차 등을 활용한 공익신고 및 단속을 대폭 강화해야 합니다.",40,교통
2025-04-14,도시 열섬 현상 완화를 위한 '쿨루프(Cool Roof)' 사업 지원,"여름철 도시 폭염의 원인인 열섬 현상을 완화하기 위해, 건물 옥상에 햇빛을 반사하는 흰색 페인트를 칠하는 '쿨루프' 시공 비용을 정부와 지자체가 지원하는 사업을 확대해야 합니다.",78,환경
2025-03-21,대중교통 통합 환승 할인 제도를 전국으로 확대,"수도권에서 시행되어 교통비 절감에 큰 효과를 본 '통합 환승 할인 제도'를 부산-울산-경남, 대구-경북 등 다른 광역 생활권으로 확대하여 지역 주민들의 교통비 부담을 줄여야 합니다.",90,교통
2025-05-19,층간소음 문제 해결을 위한 건축 기준 강화,"이웃 간의 심각한 갈등을 유발하는 층간소음 문제를 근본적으로 해결하기 위해, 신축 공동주택의 바닥 슬래브 두께 기준을 상향하고, 층간소음 차단 성능 검사를 의무화해야 합니다.",120,환경
2024-09-14,상습적인 음주운전 방지를 위한 차량 시동잠금장치 도입,"음주운전 재범률을 낮추기 위해, 상습 음주운전자의 차량에 호흡으로 혈중알코올농도를 측정해 기준치 이상이면 시동이 걸리지 않는 '차량 시동잠금장치' 부착을 의무화해야 합니다.",199,교통
2025-03-24,벤처기업 육성을 위한 '스톡옵션 비과세 특례' 확대,"유능한 인재들이 벤처기업으로 유입될 수 있도록, 임직원이 스톡옵션을 행사하여 얻는 이익에 대한 비과세 한도를 현재보다 상향 조정하고, 적용 대상 기업의 범위도 넓혀야 합니다.",52,경제
2024-12-28,겨울철 야생동물 먹이주기 사업 확대,"폭설 등으로 먹이를 구하기 힘든 겨울철, 멧돼지 등 야생동물이 민가로 내려와 발생하는 피해를 예방하기 위해, 국립공원 및 지자체 주관의 '야생동물 먹이주기 사업'을 확대해야 합니다.",136,환경
2025-01-23,저소득층 여성 청소년 '생리용품 보편 지원' 확대,"저소득층 여성 청소년들이 위생적이고 건강하게 성장할 권리를 보장하기 위해, 현재 일부 지자체에서만 시행하는 생리용품 구매 바우처 지원 사업을 전국적으로 확대해야 합니다.",55,복지
2025-06-30,진로 탐색을 위한 '중학교 자유학기제' 내실화,"학생들이 시험 부담에서 벗어나 자신의 꿈과 끼를 찾도록 돕는 자유학기(년)제가 실효성을 거둘 수 있도록, 지역사회와 연계한 다양하고 수준 높은 체험 프로그램을 개발하고 지원해야 합니다.",156,교육
2025-04-08,기업의 불법적인 상속·증여 근절을 위한 과세 강화,"일부 대기업 총수 일가가 '일감 몰아주기' 등 편법을 통해 경영권을 승계하고 부를 대물림하는 관행을 근절하기 위해, 관련 세법을 개정하고 국세청의 감시 및 조사를 강화해야 합니다.",86,경제
2025-03-13,사회적 고립 가구 발굴을 위한 '좋은 이웃' 네트워크 구축,"복지 사각지대에 놓여 고독사 위험에 처한 1인 가구 등을 발굴하기 위해, 지역 사정에 밝은 편의점, 부동산, 우체부 등을 '명예 사회복지공무원'으로 위촉하는 인적 안전망을 구축해야 합니다.",124,복지
2024-12-02,학대 피해 아동 쉼터 확충 및 전문 인력 양성,"가정 내 학대로부터 분리된 아동을 안전하게 보호하고 심리적 회복을 돕기 위해, '학대 피해 아동 쉼터'를 권역별로 확충하고, 심리치료사 등 전문 인력을 체계적으로 양성해야 합니다.",31,복지
2024-12-22,고속도로 터널 내 차로 변경 단속 시스템 확대,"터널 내에서 무리한 차로 변경으로 인해 발생하는 대형 사고를 예방하기 위해, 현재 일부 터널에만 설치된 '차로 변경 자동 단속 시스템'을 전국 모든 고속도로 터널로 확대해야 합니다.",36,교통
2024-10-11,화학물질 안전 관리를 위한 '화학물질 배출량' 정보 공개 확대,"기업이 배출하는 화학물질에 대한 국민의 알 권리를 보장하고, 기업의 자발적인 배출량 감축을 유도하기 위해, 현재 공개되는 정보의 종류와 범위를 대폭 확대해야 합니다.",196,환경
2025-01-17,가습기 살균제 피해자 구제를 위한 추가 지원 대책 마련,"가습기 살균제 참사로 인해 여전히 고통받고 있는 피해자 및 그 가족들을 위해, 정부 차원의 추가적인 의료비 지원과 트라우마 치유를 위한 심리 상담 프로그램을 마련해야 합니다.",34,환경
2025-08-07,택시 운전석 보호 격벽 설치 지원 확대,"승객의 폭언·폭행으로부터 택시 기사를 보호하고 안전 운행을 보장하기 위해, 택시 운전석에 보호 격벽 설치 비용의 일부를 정부와 지자체가 지원하는 사업을 확대해야 합니다.",243,교통
2025-06-28,서열화된 대학 체제 개편을 위한 '국공립대 통합 네트워크' 구축,"학벌 사회를 완화하고 고등 교육의 질을 높이기 위해, 서울대와 지방 거점 국립대를 하나의 '통합 국공립대학교' 네트워크로 묶어 공동 학위를 수여하는 방안을 제안합니다.",230,교육
2025-02-06,노인 일자리 사업 확대 및 수당 현실화,"어르신들의 활기찬 노후와 소득 보장을 위해, 공익형·사회서비스형 노인 일자리 사업을 확대하고, 월 27만원 수준인 활동 수당을 최저임금과 연동하여 현실화해야 합니다.",49,복지
2025-02-25,공정한 시장 조성을 위한 '온라인 플랫폼 공정화법' 제정,"거대 플랫폼 기업의 독점적 지위 남용(입점업체에 대한 갑질 등)을 막고, 플랫폼-입점업체-소비자가 상생하는 생태계를 만들기 위한 '온라인 플랫폼 공정화법'을 조속히 제정해야 합니다.",64,경제
2025-06-13,범죄 피해자 지원 강화를 위한 원스톱 지원센터 확대,"성폭력, 가정폭력 등 범죄 피해자가 여러 기관을 전전하는 불편 없이 한 곳에서 상담, 의료, 법률, 수사 지원을 모두 받을 수 있는 '원스톱 지원센터'를 전국적으로 확대 설치해야 합니다.",231,복지
2024-11-26,부실 금융상품 판매 방지를 위한 '금융소비자보호법' 강화,"은행이나 증권사가 고위험 금융상품을 불완전하게 판매하여 소비자에게 막대한 피해를 입히는 사례를 막기 위해, 설명 의무를 강화하고 위반 시 징벌적 과징금을 부과하도록 법을 강화해야 합니다.",110,경제
2025-02-07,생활 소음 저감을 위한 '공사장 소음 관리법' 개정,"도심 공사장에서 발생하는 소음과 비산먼지로 인한 주민들의 피해를 줄이기 위해, 소음 규제 기준을 강화하고, 주거 밀집 지역에서는 주말 및 야간 공사를 제한하도록 법을 개정해야 합니다.",53,환경
2024-12-19,과도한 입시 경쟁 완화를 위한 '수능 절대평가' 전환,"학생들을 한 줄로 세우는 상대평가 방식의 수능을 모든 영역에서 절대평가로 전환하여, 과도한 입시 경쟁과 사교육 의존도를 낮추고 공교육을 정상화하는 기반을 마련해야 합니다.",196,교육
2025-07-27,악성 임대인 정보 공개를 통한 전세사기 피해 예방,"세입자의 보증금을 상습적으로 돌려주지 않는 '악성 임대인'의 신상 정보를 공개하는 시스템을 구축하여, 임차인들이 계약 전에 위험을 확인할 수 있도록 함으로써 전세사기 피해를 예방해야 합니다.",60,경제
2025-08-11,교원의 행정업무 부담 경감을 위한 '교무행정사' 증원,"교사들이 수업과 학생 지도라는 본연의 업무에 집중할 수 있도록, 각종 행정 업무를 전담하는 '교무행정사' 인력을 모든 학교에 충분히 배치하여 과도한 행정 부담을 덜어주어야 합니다.",143,교육
2025-07-14,지속가능한 농업을 위한 '청년 농업인' 육성 지원,"고령화되는 농촌에 활력을 불어넣기 위해, 농업에 뜻을 둔 청년들에게 초기 정착 지원금, 스마트팜 시설 지원, 저금리 융자 등을 패키지로 제공하여 안정적인 영농 기반을 마련해주어야 합니다.",127,환경
2025-06-22,특성화고 현장실습생 안전 및 노동인권 보호 강화,"'콜센터 현장실습생 사망 사건'과 같은 비극이 반복되지 않도록, 특성화고 현장실습생의 안전을 확보하고 부당한 노동 행위를 근절하기 위한 '직업교육훈련촉진법'을 개정해야 합니다.",52,교육
